Index,fine,year_incident,year_enforcement,persons_affected,type_pd,industry,type,ownership,section,extent,fault,knowledge,appointment,admission,voluntary,remedial,meaningful_engagement,cooperativeness,aggravating,mitigation,enforcement_action
95,0,5,3,9,0,1,0,2,24,1,0,0,2,0,0,1,0,1,0,0,1
96,0,5,3,240,0,3,0,2,24,1,0,1,2,0,2,1,0,0,0,1,0
97,5000,6,3,367,1,6,0,2,"11(3), 12",2,0,0,0,1,1,1,0,1,0,1,2
98,60000,4,3,47800,1,5,0,2,24,1,0,1,2,0,1,1,0,0,1,1,2
99,10000,6,3,1568,1,2,0,2,"11(3), 12, 24, 25",4,0,1,0,1,0,0,0,0,0,1,3
100,48000,2,3,22658,1,5,0,2,"13, 20",2,1,1,2,0,0,0,0,0,1,0,3
101,10000,2,3,21458,1,3,0,0,"13, 20",2,1,1,2,0,0,0,0,0,1,0,3
102,0,5,3,250928,1,7,0,2,24,1,0,1,2,1,2,1,0,1,0,1,0
103,1000,5,3,152,0,7,0,0,"12, 24",2,0,1,2,1,0,1,0,1,0,1,3
104,25000,5,3,330000,0,5,1,2,24,1,0,1,2,1,0,1,0,2,0,1,3
105,4000,6,3,292,1,5,0,2,24,1,0,1,2,0,2,1,0,1,0,1,3
106,7000,6,3,292,1,1,0,2,24,1,0,1,2,1,0,1,0,2,1,1,3
107,15000,5,3,1077,1,9,0,2,"12, 24",2,0,1,2,0,0,1,0,1,0,1,3
108,90000,2,3,1262861,0,1,0,2,24,1,1,1,2,1,0,1,0,1,1,1,3
109,7000,6,3,1,1,6,0,2,24,1,0,1,2,1,2,1,0,0,0,1,3
110,6000,6,3,3,1,6,0,2,24,1,0,1,2,1,2,1,0,2,0,1,3
111,12000,6,3,18630,1,9,0,2,24,1,0,1,0,1,2,1,1,2,0,1,3
112,34000,5,3,149172,0,2,0,2,"24, 25",2,0,1,2,1,0,1,0,1,0,1,3
113,8000,6,3,1,0,7,0,2,24,1,0,1,2,1,2,1,0,2,0,1,3
114,10000,6,3,780,1,9,0,1,24,1,0,1,2,0,2,1,1,1,0,1,3
115,6000,6,3,134,0,8,0,2,24,1,0,1,2,0,2,1,0,1,0,1,2
116,5000,7,3,944,1,6,0,2,24,1,0,1,2,1,2,1,0,1,0,1,2
117,20000,7,3,111,1,9,0,1,"11(3), 12, 24",3,0,1,0,1,0,1,0,1,0,1,3
118,9000,6,3,750,0,5,1,2,24,1,0,1,2,0,0,1,0,1,0,1,2
119,15000,6,4,484512,0,5,1,2,24,1,0,1,2,0,0,1,0,1,0,1,2
120,15000,6,4,3628,0,6,0,2,24,1,0,1,2,0,0,1,0,1,0,1,2
121,26000,5,4,685393,1,5,0,2,24,1,0,1,2,0,2,1,1,1,0,1,2
122,0,6,4,1,0,9,0,2,"24, 12",0,1,0,2,0,1,0,0,2,0,0,1
123,0,6,4,1,0,6,0,2,24,0,1,0,2,0,1,0,0,2,0,0,1
124,16000,7,4,6004,1,9,0,2,24,1,0,1,2,0,2,1,0,1,0,1,2
125,5000,7,4,1,0,4,0,2,"11(3), 12, 24",3,0,1,0,1,2,1,0,2,0,1,2
126,0,7,4,1,0,5,0,2,24,1,1,1,2,1,2,1,0,2,0,1,1
